"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3344440449.49811","2810673920.35195","760213375.871432","765416615.030301","832248246.408243","838751007.128435","888912772.453898","906005653.996282","914182305.410867","969165083.24813","1199085509.92132","1260899929.5654","1529945240.6443","1908316355.97057","2049226089.09401","2352459459.42857","2742201691.62554","3051001159.73889","3277795242.65459","2341893901.65791","2515646995.73223","2560129082.96612","2687919108.93697","2701358704.48166","2639227454.2333","2713125822.98715","2704986445.52158","2948435225.54381","3057527329.0859","3378567698.4871","3294103506.16643","3379750197.29053","3710965716.54621","3785185030.86967","4042577612.96881","",
"American Samoa","ASM","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","43761688.3972079","45103562.7356581","54327064.157533","65088444.0347103","73859628.2638492","59102779.8508373","58733387.4767695","64372275.1462116","75616126.6956407","92370709.37657","113075528.87406","123874601.850632","137632583.129686","130787516.279614","136098473.984323","132491244.372253","124617155.908707","129980883.952568","132687248.489105","146939009.370229","157579771.329343","169750873.123881","182917072.742438","194507700.806298","159208113.223193","168819853.568833","183437237.514085","186889925.418636","223105455.317032","302279810.595529","326701169.693333","326655937.97406","305325413.026618","227700244.133242","197387453.600051","202129245.5039","213795259.766549","224436021.725664","228962962.962963","261993425.962509","288220284.521318","349219027.271707","357070499.875616","286644712.966621","318227760.949413","330609944.100561","334062632.005112","","",
"Australia","AUS","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164181830722.205","161717534604.866","157769404498.931","161957787923.788","168714167687.731","174950989126.679","180361790772.957","183108568740.253","192770653786.322","199494629580.934","206111471765.851","204142667225.389","212942427064.094","225473511541.905","230441145116.452","235211783322.398","240137981910.798","251343930514.162","262668488002.185","264857983464.473","273053747104.97","276837545431.237","293839663569.045","304088408299.725","316745545844.483","321374521499.154","324507391855.273","320969691847.136","333366158736.498","337534875829.614","336586243915.25","334319018497.365","335796101632.082","338342848754.681","340195669620.564","",
"Austria","AUT","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","51448184863.8962","54478273380.8403","53867596959.3638","55602732326.6404","56689669425.8954","55522727186.6092","54383325007.3422","55703954316.5121","54328980528.7492","57151184212.2242","58174181464.7602","58408433671.3936","60418440638.2729","62007037676.0626","65910357385.8925","68743761003.7366","69485159463.6186","69476070365.5886","72810453040.3484","75139365739.9371","76257978815.9346","77230210609.4954","79497208542.7494","82020107411.865","84921772769.9212","85922905353.5348","85176364635.9632","87285778252.7984","90043964599.2336","92283993834.4338","95376850544.446","99977347571.0769","100554161755.56","89861833415.5878","92264522066.6182","95123678301.0813","96392637064.3287","96896610347.2409","96987706935.1921","96842098489.555","100087240211.246","103242681203.965","106405566433.504","106948530779.444","100808294878.902","106856752276.67","112432491854.126","109316380815.438","104038554326.179","",
"Azerbaijan","AZE","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7164653698.78487","5363883183.04393","3901897610.50986","3379213499.10981","3625792962.10617","4268600305.05101","5032971763.38381","5165646309.99587","4481846098.85671","4605734658.93506","5305234142.85455","6054255001.70925","6773059795.24096","9715474068.73911","14555604553.0522","19341633399.1344","21216799078.3456","23465281159.0878","24566571327.0292","23517320847.4042","23278355580.5364","24300606974.5564","24403599023.6581","23826622836.6408","22456306141.1201","21766701218.9571","21622759720.8573","21876277149.0963","20779214479.9778","21432166869.8902","21516493283.6779","21458129305.6887","21903623852.2176","",
"Burundi","BDI","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","171862666.359582","181533733.870441","177311595.329616","180614178.099613","187231931.324362","188405557.257677","207894770.782046","258695582.760778","288228689.17117","290567328.605858","320006028.142922","350646841.389013","383069790.501715","395508304.412985","401603341.857372","438985133.954144","444795294.575449","477758184.634583","480411513.440991","483866472.157056","520098819.715424","568362241.198059","617070871.381095","530557535.161572","432563558.409744","360801264.005888","374800353.131621","370861757.21822","364965055.383419","381716951.280701","357935405.741414","335635486.589964","314724886.354183","295117048.175545","276730807.992592","281022678.472209","296108664.618589","314206903.120338","321754703.709827","359835727.102548","362709248.273287","369424661.755","397955210.625661","409214413.798007","435968928.790195","433328915.553981","431112829.375636","449169001.938924","489254065.872644","495819759.561044","497538349.528198","510637706.141416","526081552.56503","538557410.753445","547695108.201926","",
"Belgium","BEL","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66724076598.5009","68277957455.4137","72307541618.7057","73418154262.7318","74672901342.52","79218219648.7119","79558719809.5442","79580349942.7118","79857355196.5036","83758853087.3514","85779825207.0453","86502590624.5496","90642319014.3403","88858480935.2261","85063040471.5228","87667428118.5443","89301848826.1458","87253963637.5337","87886719791.2115","89109370544.3639","89796650582.1093","88723118166.3706","89627895672.1886","90089504643.153","93214111944.5608","88204194326.4137","86886151695.651","93295349541.4807","94476334876.8264","94480621032.2467","",
"Benin","BEN","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","387384672.588126","359311185.483343","409807902.701546","398170277.256591","510696371.72504","441412094.724824","386792993.750946","441949430.286814","414236481.092091","446669183.091841","440961443.01935","525180985.238218","705769174.530102","678192190.726916","735389360.935818","802799952.057106","631209109.093102","630187738.183083","667978560.464817","720109454.735451","779155648.895838","814505564.299575","888237877.864183","872306041.887554","914472556.83361","950330740.580171","1023470849.35386","1059378715.81154","1057390820.775","1075892367.23797","1174966421.92625","1331912601.46547","1356669983.8879","1372638489.30134","1387401003.18516","1478902507.77819","1523988858.3869","1497011343.98055","1363735181.70813","1384627427.99112","1431258633.34998","1433767977.30413","1486303700.3033","1578448315.64886","1639873703.58156","1865961048.69359","1882598067.26625","1891428422.81852","1982992027.33299","2251853908.17487","2368390205.97323","2584301086.34285","2788172165.02371","2991483433.06292","3280381640.89236","",
"Burkina Faso","BFA","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","322244664.92204","335124290.943919","341887660.619327","386605628.276997","341435518.347947","413079936.503557","457582469.181792","380176997.664887","409295691.168817","397342754.76058","413828397.657991","408311654.736575","440553487.204511","444003357.305018","451765565.352531","476788528.852824","524977194.378857","568917825.184846","563508819.745986","560449053.919092","603206268.695989","603966175.243035","629108725.957585","662288733.502023","632068519.219321","633322304.289047","627812315.039815","755875925.851521","788713105.94399","1062376898.19866","1029536987.95047","1081613970.02669","1147007658.66781","1306135831.22978","1378882142.48426","1448409405.11972","1524606986.5485","1734864783.24047","1697610472.85637","1891260072.12395","2118533423.53859","2383759357.8874","2342607980.50041","2451533237.08422","2706260299.16614","2882476794.29374","3026572386.93542","3205077891.57447","3510328148.31076","3844871220.22406","4227129324.15624","4508667999.15722","4143795125.81972","4226158870.76037","4083571385.62573","",
